breakdown_language,breakdown_editor,breakdown_suggestions_count,breakdown_acceptances_count,breakdown_lines_suggested,breakdown_lines_accepted,breakdown_active_users,day,total_suggestions_count,total_acceptances_count,total_lines_suggested,total_lines_accepted,total_active_users
polyglot-notebook,vscode,11,3,12,3,2,10/03/2024,451,82,896,137,6
python,vscode,15,2,23,2,2,10/03/2024,451,82,896,137,6
powershell,vscode,155,18,238,25,2,10/03/2024,451,82,896,137,6
dart,vscode,195,31,297,34,2,10/03/2024,451,82,896,137,6
json,vscode,1,0,2,0,1,10/03/2024,451,82,896,137,6
bicep,vscode,12,1,52,12,2,10/03/2024,451,82,896,137,6
c#,visual_studio,60,25,270,59,2,10/03/2024,451,82,896,137,6
typescript,visual_studio,2,2,2,2,2,10/03/2024,451,82,896,137,6
properties,vscode,2,0,3,0,1,11/03/2024,324,74,750,157,8
python,vscode,93,21,156,32,4,11/03/2024,324,74,750,157,8
java,vscode,2,0,3,0,1,11/03/2024,324,74,750,157,8
c#,vscode,5,1,6,1,2,11/03/2024,324,74,750,157,8
typescript,vscode,19,3,23,4,2,11/03/2024,324,74,750,157,8
html,vscode,10,0,24,0,1,11/03/2024,324,74,750,157,8
csv,vscode,1,0,1,0,1,11/03/2024,324,74,750,157,8
json,vscode,28,1,51,7,2,11/03/2024,324,74,750,157,8
bicep,vscode,161,47,392,112,2,11/03/2024,324,74,750,157,8
c#,visual_studio,3,1,91,1,2,11/03/2024,324,74,750,157,8
typescriptreact,vscode,8,4,8,4,2,12/03/2024,753,199,1875,429,12
python,vscode,134,24,197,29,3,12/03/2024,753,199,1875,429,12
java,vscode,7,4,10,6,2,12/03/2024,753,199,1875,429,12
powershell,vscode,3,1,4,1,2,12/03/2024,753,199,1875,429,12
dart,vscode,14,5,82,8,2,12/03/2024,753,199,1875,429,12
typescript,vscode,161,27,368,72,3,12/03/2024,753,199,1875,429,12
sql,vscode,9,1,16,2,2,12/03/2024,753,199,1875,429,12
html,vscode,1,0,2,0,1,12/03/2024,753,199,1875,429,12
json,vscode,123,41,450,134,2,12/03/2024,753,199,1875,429,12
yaml,vscode,1,0,1,0,1,12/03/2024,753,199,1875,429,12
bicep,vscode,226,67,597,112,2,12/03/2024,753,199,1875,429,12
c#,visual_studio,65,25,139,61,3,12/03/2024,753,199,1875,429,12
json,visual_studio,1,0,1,0,1,12/03/2024,753,199,1875,429,12
javascriptreact,vscode,32,10,54,26,2,13/03/2024,1152,361,2587,749,16
typescriptreact,vscode,3,0,3,0,1,13/03/2024,1152,361,2587,749,16
javascript,vscode,1,0,10,0,1,13/03/2024,1152,361,2587,749,16
python,vscode,177,52,213,52,4,13/03/2024,1152,361,2587,749,16
java,vscode,3,0,4,0,1,13/03/2024,1152,361,2587,749,16
powershell,vscode,12,3,24,3,3,13/03/2024,1152,361,2587,749,16
dart,vscode,29,8,157,65,2,13/03/2024,1152,361,2587,749,16
xml,vscode,4,2,5,2,2,13/03/2024,1152,361,2587,749,16
typescript,vscode,23,4,34,4,2,13/03/2024,1152,361,2587,749,16
sql,vscode,31,17,51,19,2,13/03/2024,1152,361,2587,749,16
json,vscode,27,2,51,9,2,13/03/2024,1152,361,2587,749,16
bicep,vscode,202,45,486,98,2,13/03/2024,1152,361,2587,749,16
c#,visual_studio,608,218,1495,471,5,13/03/2024,1152,361,2587,749,16
javascriptreact,vscode,9,2,11,2,2,14/03/2024,1048,360,2535,969,14
properties,vscode,1,0,1,0,1,14/03/2024,1048,360,2535,969,14
typescriptreact,vscode,23,8,27,10,2,14/03/2024,1048,360,2535,969,14
python,vscode,80,18,100,31,4,14/03/2024,1048,360,2535,969,14
java,vscode,6,0,11,0,1,14/03/2024,1048,360,2535,969,14
groovy,vscode,1,0,1,0,1,14/03/2024,1048,360,2535,969,14
coffeescript,vscode,1,0,1,0,1,14/03/2024,1048,360,2535,969,14
c#,vscode,76,13,119,19,2,14/03/2024,1048,360,2535,969,14
powershell,vscode,13,2,13,2,2,14/03/2024,1048,360,2535,969,14
dart,vscode,26,5,42,5,2,14/03/2024,1048,360,2535,969,14
typescript,vscode,34,8,66,14,2,14/03/2024,1048,360,2535,969,14
sql,vscode,154,58,521,199,2,14/03/2024,1048,360,2535,969,14
json,vscode,48,5,62,12,2,14/03/2024,1048,360,2535,969,14
yaml,vscode,49,11,69,29,2,14/03/2024,1048,360,2535,969,14
postcss,vscode,1,0,1,0,1,14/03/2024,1048,360,2535,969,14
bicep,vscode,43,9,90,16,2,14/03/2024,1048,360,2535,969,14
c#,visual_studio,473,221,1248,630,4,14/03/2024,1048,360,2535,969,14
json,visual_studio,10,0,152,0,1,14/03/2024,1048,360,2535,969,14
javascriptreact,vscode,54,13,132,32,2,15/03/2024,1350,402,2876,833,18
properties,vscode,20,2,22,2,2,15/03/2024,1350,402,2876,833,18
typescriptreact,vscode,66,16,139,35,3,15/03/2024,1350,402,2876,833,18
shell,vscode,2,0,2,0,1,15/03/2024,1350,402,2876,833,18
javascript,vscode,106,26,270,56,2,15/03/2024,1350,402,2876,833,18
python,vscode,142,56,298,129,4,15/03/2024,1350,402,2876,833,18
java,vscode,34,2,55,6,2,15/03/2024,1350,402,2876,833,18
powershell,vscode,50,8,59,10,2,15/03/2024,1350,402,2876,833,18
typescript,vscode,107,14,173,34,2,15/03/2024,1350,402,2876,833,18
sql,vscode,47,9,129,14,2,15/03/2024,1350,402,2876,833,18
html,vscode,3,1,3,1,2,15/03/2024,1350,402,2876,833,18
json,vscode,73,10,183,22,2,15/03/2024,1350,402,2876,833,18
ignore list,vscode,11,1,11,1,2,15/03/2024,1350,402,2876,833,18
bicep,vscode,176,36,339,49,3,15/03/2024,1350,402,2876,833,18
c#,visual_studio,459,208,1061,442,5,15/03/2024,1350,402,2876,833,18
dockercompose,vscode,4,0,13,0,1,16/03/2024,714,145,1153,215,8
properties,vscode,5,0,5,0,1,16/03/2024,714,145,1153,215,8
typescriptreact,vscode,157,32,352,73,2,16/03/2024,714,145,1153,215,8
python,vscode,211,70,299,87,4,16/03/2024,714,145,1153,215,8
c#,vscode,58,15,92,23,2,16/03/2024,714,145,1153,215,8
powershell,vscode,156,9,194,11,2,16/03/2024,714,145,1153,215,8
typescript,vscode,13,0,22,0,1,16/03/2024,714,145,1153,215,8
markdown,vscode,12,6,12,6,2,16/03/2024,714,145,1153,215,8
json,vscode,27,2,56,4,2,16/03/2024,714,145,1153,215,8
bicep,vscode,71,11,108,11,2,16/03/2024,714,145,1153,215,8
javascriptreact,vscode,10,2,12,2,2,17/03/2024,726,157,1600,371,13
typescriptreact,vscode,99,22,150,34,2,17/03/2024,726,157,1600,371,13
javascript,vscode,6,0,21,0,1,17/03/2024,726,157,1600,371,13
python,vscode,109,20,212,29,5,17/03/2024,726,157,1600,371,13
powershell,vscode,209,21,264,29,3,17/03/2024,726,157,1600,371,13
typescript,vscode,61,12,192,106,3,17/03/2024,726,157,1600,371,13
markdown,vscode,4,1,5,1,2,17/03/2024,726,157,1600,371,13
html,vscode,13,1,15,1,2,17/03/2024,726,157,1600,371,13
json,vscode,9,1,13,1,2,17/03/2024,726,157,1600,371,13
json with comments,vscode,4,0,9,0,1,17/03/2024,726,157,1600,371,13
bicep,vscode,30,4,55,10,2,17/03/2024,726,157,1600,371,13
c#,visual_studio,172,73,652,158,3,17/03/2024,726,157,1600,371,13
properties,vscode,20,2,28,2,2,18/03/2024,876,203,1866,365,14
typescriptreact,vscode,91,19,132,32,2,18/03/2024,876,203,1866,365,14
javascript,vscode,10,2,46,14,2,18/03/2024,876,203,1866,365,14
python,vscode,179,26,228,27,3,18/03/2024,876,203,1866,365,14
java,vscode,2,0,3,0,1,18/03/2024,876,203,1866,365,14
c#,vscode,105,22,240,30,2,18/03/2024,876,203,1866,365,14
powershell,vscode,15,1,18,1,2,18/03/2024,876,203,1866,365,14
xml,vscode,1,0,1,0,1,18/03/2024,876,203,1866,365,14
