"day","total_suggestions_count","total_acceptances_count","total_lines_suggested","total_lines_accepted","total_active_users","total_chat_acceptances","total_chat_turns","total_active_chat_users","language","editor","suggestions_count","acceptances_count","lines_suggested","lines_accepted","active_users"
"2024-10-26","129","25","168","27","4","16","96","4","unknown","vscode","16","1","21","1","2"
"2024-10-26","129","25","168","27","4","16","96","4","python","vscode","38","14","50","14","2"
"2024-10-26","129","25","168","27","4","16","96","4","c#","vscode","7","0","8","0","1"
"2024-10-26","129","25","168","27","4","16","96","4","powershell","vscode","56","9","75","11","2"
"2024-10-26","129","25","168","27","4","16","96","4","json","vscode","7","0","9","0","1"
"2024-10-26","129","25","168","27","4","16","96","4","c#","visual_studio","5","1","5","1","2"
"2024-10-27","293","58","365","48","5","9","40","3","typescriptreact","vscode","1","1","1","1","2"
"2024-10-27","293","58","365","48","5","9","40","3","python","vscode","4","1","5","1","2"
"2024-10-27","293","58","365","48","5","9","40","3","c#","vscode","10","0","10","0","1"
"2024-10-27","293","58","365","48","5","9","40","3","powershell","vscode","248","50","317","42","2"
"2024-10-27","293","58","365","48","5","9","40","3","typescript","vscode","26","5","28","3","2"
"2024-10-27","293","58","365","48","5","9","40","3","sql","vscode","3","1","3","1","2"
"2024-10-27","293","58","365","48","5","9","40","3","dotenv","vscode","1","0","1","0","1"
"2024-10-28","475","85","774","106","7","30","89","4","unknown","vscode","1","0","1","0","1"
"2024-10-28","475","85","774","106","7","30","89","4","javascript","vscode","10","0","10","0","1"
"2024-10-28","475","85","774","106","7","30","89","4","powershell","vscode","245","44","373","45","3"
"2024-10-28","475","85","774","106","7","30","89","4","ini","vscode","9","4","10","1","2"
"2024-10-28","475","85","774","106","7","30","89","4","json","vscode","11","3","76","1","2"
"2024-10-28","475","85","774","106","7","30","89","4","yaml","vscode","108","14","148","18","3"
"2024-10-28","475","85","774","106","7","30","89","4","unknown","visual_studio","2","0","3","0","1"
"2024-10-28","475","85","774","106","7","30","89","4","c#","visual_studio","79","15","117","24","3"
"2024-10-28","475","85","774","106","7","30","89","4","json","visual_studio","10","5","36","17","2"
"2024-10-29","321","90","607","106","9","1","58","5","typescriptreact","vscode","103","29","157","17","3"
"2024-10-29","321","90","607","106","9","1","58","5","javascript","vscode","1","1","1","1","2"
"2024-10-29","321","90","607","106","9","1","58","5","c#","vscode","52","25","69","31","2"
"2024-10-29","321","90","607","106","9","1","58","5","powershell","vscode","79","12","166","22","2"
"2024-10-29","321","90","607","106","9","1","58","5","css","vscode","3","0","3","0","1"
"2024-10-29","321","90","607","106","9","1","58","5","sql","vscode","33","11","60","20","2"
"2024-10-29","321","90","607","106","9","1","58","5","json","vscode","11","3","11","3","2"
"2024-10-29","321","90","607","106","9","1","58","5","yaml","vscode","27","5","66","8","3"
"2024-10-29","321","90","607","106","9","1","58","5","c#","visual_studio","12","4","74","4","3"
"2024-10-30","548","174","823","221","12","8","82","6","typescriptreact","vscode","93","34","150","28","2"
"2024-10-30","548","174","823","221","12","8","82","6","unknown","vscode","30","24","45","22","2"
"2024-10-30","548","174","823","221","12","8","82","6","javascript","vscode","4","4","4","0","2"
"2024-10-30","548","174","823","221","12","8","82","6","python","vscode","129","33","165","39","2"
"2024-10-30","548","174","823","221","12","8","82","6","c#","vscode","9","1","18","1","2"
